ID,HeroID,Name,Rank,Level,EmpowerLevel,Rarity,Affinity,Faction,UsedT1MasScrolls,UnUsedT1MasScrolls,UsedT2MasScrolls,UnUsedT2MasScrolls,UsedT3MasScrolls,UnUsedT3MasScrolls,HP,ATK,DEF,CritRate,CritDamage,SPD,ACC,RES,BlessingID,BlessingGrade,BooksMissing
210,4966,Vogoth,6,60,0,4,3,10,0,100,0,600,0,950,40292.80078125,1328.56005859375,1685.09997558594,20,60,99.2350006103516,156,40,1202,1,0
98,1126,Seeker,6,60,0,4,1,10,0,100,0,600,0,950,35871.3515625,1700.33996582031,1943.28002929687,27,98,184,98,139,1202,1,0
261,3886,Sepulcher Sentinel,6,60,0,4,2,12,0,100,0,600,0,950,30387.55078125,1282.06005859375,1898.52001953125,20,92,115,51,146,1202,1,0
14783,5306,Fayne,6,60,0,4,3,7,0,100,0,600,86,600,26945.19921875,4665.08984375,1424.47998046875,72,89,212,149,59,0,0,15
12178,2806,Doompriest,6,60,0,4,2,12,0,100,0,600,0,950,52146.6015625,2015.40002441406,2024,20,72,221,249,69,0,0,0
12124,4815,Rector Drath,5,50,0,4,2,12,0,0,0,0,0,0,24330.5,1724.60009765625,1658.52001953125,15,71,102,80,30,4301,3,0
180,6055,Burangiri,5,50,0,4,2,15,0,100,0,600,20,200,32145.275390625,1701.25,3085.1201171875,83,65,178.695007324219,113,221,4302,3,0
8829,5965,Giscard the Sigiled,5,50,0,4,3,1,0,0,0,0,0,0,20869.80078125,1237.71997070312,1433.52001953125,15,76,96,60,30,1202,2,12
3189,6533,Lady Eresh,5,50,0,4,2,12,0,0,0,0,0,0,18803,1806.38000488281,823,15,50,96,40,30,1301,2,9
13094,4855,Skraank,5,50,0,4,4,5,0,100,59,480,0,0,18057,1317.19995117188,1000.79998779297,15,55,111.5,49,38,1301,1,7
141,5545,Achak the Wendarin,5,50,0,4,2,9,0,0,0,0,0,0,32260.80078125,1140.39990234375,1289,26,62,163,208,81,1202,1,15
225,6495,Thylessia,5,50,0,4,2,12,0,0,0,0,0,0,18527.650390625,1597.71997070313,932.739990234375,15,83,106.699996948242,78,39,1202,1,13
13,4015,High Khatun,5,50,0,4,3,13,0,0,0,0,0,0,27328.75,1195.9599609375,2080.97998046875,45,54,192,81,45,1202,1,11
8803,3255,Alika,5,50,0,4,2,13,0,0,0,0,0,0,23529.099609375,1415.68005371094,1033.32006835938,15,143,117.099998474121,75,30,1301,1,20
230,9445,Wysteri Vineguard,5,50,0,4,4,14,0,0,0,0,0,0,20042,1332.15002441406,862.280029296875,15,62,99,0,42,1301,1,10
5159,6355,Conellia,5,50,0,4,1,16,0,0,0,0,0,0,23049.94921875,732.820007324219,1152,15,62,102,112,41,0,1,11
3936,4945,Mordecai,5,50,0,4,2,3,0,0,0,0,0,0,26784.3984375,1514.14001464844,1682.40002441406,20,61,171,158,151,0,0,0
12132,5693,Sanguinia,5,50,0,4,1,3,0,0,0,0,0,0,18908,714.679992675781,1080,15,50,98,95,45,0,0,12
3949,2455,Galkut,5,50,0,4,3,5,0,0,0,0,0,0,11359,1514.41003417969,1106,15,76,100,60,82,0,0,12
6846,9745,Yuzan the Marooned,5,50,0,4,4,7,0,0,0,0,0,0,30528.25,738.400024414062,1609.28002929687,21,71,169,17,41,0,0,11
117,3015,Reinbeast,5,50,0,4,2,7,0,0,0,0,0,0,18310.099609375,764.97998046875,1367.10998535156,15,50,105,132,50,0,0,10
4741,3545,Snorting Thug,5,50,0,4,2,7,0,0,0,0,0,0,40264,1083.080078125,1337.09997558594,27,119,152,140,63,0,0,11
3945,4095,Sandlashed Survivor,5,50,0,4,3,8,0,0,0,0,0,0,20180.849609375,1232.59997558594,2473.39990234375,88,68,156,111,84,0,0,10
8759,5684,Dhukk the Pierced,5,50,0,4,1,8,0,0,0,0,0,0,19357,1209.65002441406,2254.64990234375,15,76,157,105,49,0,0,12
174,2345,Hellgazer,5,50,0,4,3,9,0,0,0,0,0,0,20154,2607.52001953125,821.780029296875,84,104,180.699996948242,90,83,0,0,9
75,5095,Tainix Hateflower,5,50,0,4,2,9,0,0,0,0,0,0,31626.5,1452.28002929687,1149.43994140625,25,62,213.5,161,58,0,0,10
3191,6735,Scion,5,50,0,4,1,9,0,0,0,0,0,0,16539.400390625,2380.9599609375,1233.56005859375,22,83,156.199996948242,132,40,0,0,10
5941,615,Zelotah,5,50,0,4,3,10,0,0,0,0,0,0,21939.80078125,832.929992675781,1038,15,50,95,61,51,0,0,14
45,4995,Dark Elhain,5,50,0,4,1,10,0,0,0,0,0,0,17171.5,1410.0400390625,840.5,15,50,103.400001525879,100,41,0,0,9
5156,4555,Fang Cleric,5,50,0,4,3,11,0,0,0,0,0,0,21170.94921875,867.119995117187,1060.67993164062,15,50,98,70,30,0,0,12
129,593,Spider,5,50,0,4,2,11,0,0,0,0,0,0,19826,1153.61999511719,767,15,50,91,60,30,0,0,14
13350,3775,Captain Temila,5,50,0,4,1,11,0,0,0,0,0,0,17641,843.599975585938,988,15,50,96,80,30,0,0,10
8828,4125,Bergoth the Malformed,5,50,0,4,3,12,0,0,0,0,0,0,22604.400390625,632.200012207031,1062,15,50,95,70,30,0,0,10
43,3473,Atur,5,50,0,4,1,13,0,0,0,0,0,0,21774,1012.40997314453,1897.80004882813,15,50,115,146,30,0,0,10
3935,7425,Duedan the Runic,5,50,0,4,2,14,0,0,0,0,0,0,20095.099609375,839.859985351562,1157.52001953125,15,69,97,92,53,0,0,10
7084,7805,Locwain,5,50,0,4,1,14,0,0,0,0,0,0,14306.599609375,1867.43994140625,991.760009765625,30,61,105,120,76,0,0,13
160,6045,Genbo the Dishonored,5,50,0,4,4,15,0,0,0,0,0,0,19767,2424,1104.67993164062,58,98,181.899993896484,28,88,0,0,15
83,7325,Suiren,5,50,0,4,2,15,0,0,0,0,0,0,18948,2121.65991210938,1382.82995605469,27,102,167,108,41,0,0,15
8800,6023,Hotatsu,5,50,0,4,1,15,0,0,0,0,0,0,16038,704.380004882813,1227.34997558594,15,50,96,100,30,0,0,15
93,4205,Runekeeper Dazdurk,5,50,0,4,4,16,0,0,0,0,0,0,21732,683,1178.419921875,15,61,107.800003051758,42,39,0,0,10
80,4165,Rock Breaker,5,50,0,4,3,16,0,0,0,0,0,0,17842,673.440002441406,1446.64001464844,15,60,91,70,69,0,0,11
81,5395,Melga Steelgirdle,5,50,0,4,3,16,0,0,0,0,0,0,21865.80078125,886.599975585938,981.910034179688,15,57,100,50,41,0,0,7
2135,7555,Morag Bronzelock,5,50,0,4,3,16,0,0,0,0,0,0,17654,821.449951171875,1334.60998535156,15,62,99,50,30,0,0,9
15755,5050,Archmage Hellmut,5,1,0,4,1,1,0,0,0,0,0,0,9241,466.519989013672,523,15,50,101,80,30,0,0,13
15724,1744,Zargala,5,1,0,4,2,8,0,0,0,0,0,0,8638,703.340026855469,412,15,50,103,40,30,0,0,15
15582,6485,Duhr the Hungerer,5,1,0,4,3,9,0,0,0,0,0,0,9800,600.9599609375,558,15,50,95,50,30,0,0,0
15751,3460,Kallia,5,1,0,4,2,13,0,0,0,0,0,0,6791,829.380004882813,425,15,50,106,40,30,0,0,13
4751,1154,Broadmaw,4,40,0,4,4,6,0,0,0,0,0,0,30018.650390625,1546.16003417969,954.799987792969,15,66,205,58,59,4301,2,11
7,3243,Jizoh,4,40,0,4,3,6,0,0,0,0,0,0,18387,754.839965820312,1886.47998046875,60,61,155,50,92,1202,1,12
4584,1643,Nazana,4,40,0,4,2,9,0,0,0,0,0,0,18518,598.940002441406,647,15,50,103,40,30,1202,1,13
8801,6870,Lady Quilen,4,40,0,4,2,1,0,0,0,0,0,0,8821,907.640014648438,516,15,50,101,40,30,0,0,12
14554,3790,Chancellor Yasmin,4,40,0,4,2,1,0,0,0,0,0,0,9809,687.080017089844,669,15,50,102,40,30,0,0,12
57,5000,Lordly Legionary,4,40,0,4,1,1,0,0,0,0,0,0,9150,804.97998046875,595,15,50,96,80,30,0,0,9
12143,3020,Jinglehunter,4,40,0,4,3,2,0,0,0,0,0,0,9900,885.280029296875,516,15,50,101,50,30,0,0,14
237,304,Thenasil,4,40,0,4,2,2,0,0,0,0,0,0,12545,663.079956054687,757.849975585938,15,50,98,40,30,0,0,13
4572,300,Thenasil,4,40,0,4,2,2,0,0,0,0,0,0,11662,612.880004882813,676,15,50,98,40,30,0,0,13
8845,7970,Ilysinya,4,40,0,4,2,2,0,0,0,0,0,0,13444,472.619995117188,704,15,50,98,40,30,0,0,11
19,7543,Endalia,4,40,0,4,1,2,0,0,0,0,0,0,13325,479.739990234375,755,15,50,100,80,30,0,0,14
58,3430,Fenax,4,40,0,4,3,3,0,0,0,0,0,0,9187,909.580017089844,652,15,50,96,65,45,0,0,13
264,6680,Anchorite,4,40,0,4,3,3,0,0,0,0,0,0,12493,710.599975585938,629,15,50,96,65,45,0,0,7
152,3210,Missionary,4,40,0,4,2,3,0,0,0,0,0,0,12137,653.760009765625,708,15,50,96,55,45,0,0,13
4558,4940,Mordecai,4,40,0,4,2,3,0,0,0,0,0,0,8494,853.739990234375,755,15,50,93,55,45,0,0,13
4761,2910,Relickeeper,4,40,0,4,2,3,0,0,0,0,0,0,9425,860.859985351562,684,15,50,90,55,45,0,0,8
194,2570,Adriel,4,40,0,4,1,3,0,0,0,0,0,0,12018,734.960021972656,636,15,50,98,95,45,0,0,13
159,5574,Prundar,4,40,0,4,4,5,0,0,0,0,0,0,12374,428,893,15,50,95,0,30,0,0,20
85,5103,Ghrush the Mangler,4,40,0,4,3,5,0,0,0,0,0,0,13687,462.019989013672,889.950012207031,15,50,94,70,30,0,0,15
3190,5714,Ceez,4,40,0,4,2,5,0,0,0,0,0,0,14633,1553.59997558594,829.4599609375,37,62,140,89,41,0,0,11
4170,7270,Lorn the Cutter,4,40,0,4,1,5,0,0,0,0,0,0,10138,863.940002441406,523,15,50,98,80,30,0,0,9
4171,1340,Jarang,4,40,0,4,1,6,0,0,0,0,0,0,7631,967.599975585938,538,15,50,100,80,30,0,0,13
3932,8174,Fren'zi the Cackler,4,40,0,4,4,7,0,0,0,0,0,0,11229,472,944.599975585938,15,50,100,0,30,0,0,13
5157,8501,Bovos Sharphorn,4,40,0,4,3,7,0,0,0,0,0,0,11657,524.4599609375,726,15,50,98,50,30,0,0,10
23,4020,Yaga the Insatiable,4,40,0,4,2,7,0,0,0,0,0,0,9479,796.859985351562,581,15,50,95,40,30,0,0,15
3934,2680,Ripper,4,40,0,4,2,7,0,0,0,0,0,0,9809,760.260009765625,595,15,50,96,40,30,0,0,12
4544,6500,Scabrius,4,40,0,4,1,7,0,0,0,0,0,0,8070,804.97998046875,669,15,50,95,80,30,0,0,14
13576,2670,Flesh-Tearer,4,40,0,4,1,7,0,0,0,0,0,0,11108,612.880004882813,654,15,50,89,80,30,0,0,11
213,6370,Tolf the Maimed,4,40,0,4,4,8,0,0,0,0,0,0,14114.150390625,510,734,15,50,94,0,30,0,0,10
7605,7560,Trumborr,4,40,0,4,3,8,0,0,0,0,0,0,11218,472.619995117188,784,15,50,99,50,30,0,0,9
8825,1660,Vrask,4,40,0,4,3,8,0,0,0,0,0,0,16077.099609375,546.820007324219,761.059997558594,15,50,97,50,30,0,0,8
7050,1870,Bloodfeather,4,40,0,4,2,8,0,0,0,0,0,0,8793.2001953125,1003.38000488281,631,15,50,102,40,30,0,0,11
15728,2080,Bonekeeper,4,40,0,4,2,8,0,0,0,0,0,0,8542,1098.90002441406,577,15,50,98,40,30,0,0,13
22,5090,Tainix Hateflower,4,40,0,4,2,9,0,0,0,0,0,0,11088,796.900024414062,588,15,50,95,40,30,0,0,10
15583,5490,Balthus Drauglord,4,40,0,4,3,10,0,0,0,0,0,0,11899,590.820007324219,726,15,50,97,50,30,0,0,15
3955,3650,Defiled Sinner,4,40,0,4,2,10,0,0,0,0,0,0,11780,773.539978027344,566,15,50,94,40,30,0,0,12
4252,2280,Hexia,4,40,0,4,2,10,0,0,0,0,0,0,11620,1694.919921875,775.140014648438,59,87,142.639999389648,49,48,0,0,10
4573,3650,Defiled Sinner,4,40,0,4,2,10,0,0,0,0,0,0,11780,773.539978027344,566,15,50,94,40,30,0,0,12
34,4030,Dark Athel,4,40,0,4,1,10,0,0,0,0,0,0,9187,925.820007324219,588,15,50,100,80,30,0,0,13
7597,6930,Theresc,4,40,0,4,2,11,0,0,0,0,0,0,10850,834.460021972656,509,15,50,97,40,30,0,0,15
105,7183,Phranox,4,40,0,4,3,12,0,0,0,0,0,0,11191.599609375,1214.81005859375,638.919982910156,15,55,152,128,74,0,0,15
12174,1600,Kytis,4,40,0,4,3,12,0,0,0,0,0,0,9781,694.200012207031,711,15,50,95,50,30,0,0,13
5158,2780,Crypt Witch,4,40,0,4,1,12,0,0,0,0,0,0,9900,827.340026855469,573,15,50,98,80,30,0,0,13
7607,4013,High Khatun,4,40,0,4,3,13,0,0,0,0,0,0,10969,701.47998046875,755,15,50,97,50,30,0,0,11
13351,4610,Valla,4,40,0,4,3,13,0,0,0,0,0,0,10850,510.619995117188,864,15,50,99,50,30,0,0,10
112,3263,Sikara,4,40,0,4,1,13,0,0,0,0,0,0,22028.25,794.200012207031,994.140014648438,15,84,165,222,81,0,0,18
7595,3260,Sikara,4,40,0,4,1,13,0,0,0,0,0,0,12731,525.859985351562,733,15,50,101,80,30,0,0,18
12179,2580,Jotunn,4,40,0,4,1,13,0,0,0,0,0,0,10019,661.880004882813,777,15,50,93,80,30,0,0,13
4554,7420,Duedan the Runic,4,40,0,4,2,14,0,0,0,0,0,0,12018,539.700012207031,726,15,50,97,40,30,0,0,10
7030,4200,Runekeeper Dazdurk,4,40,0,4,4,16,0,0,0,0,0,0,13325,406,770,15,50,98,0,30,0,0,10
12142,10610,Xanthe Seaflower,4,40,0,4,2,17,0,0,0,0,0,0,11108,472.619995117188,792,15,50,97,40,30,0,0,11
15653,10340,Tidemaster Dexikos,4,40,0,4,1,17,0,0,0,0,0,0,12755,531.579956054687,625,15,50,100,80,30,0,0,10
15570,3430,Fenax,4,15,0,4,3,3,0,0,0,0,0,0,6534,646.660034179688,464,15,50,96,65,45,0,0,13
13563,4940,Mordecai,4,15,0,4,2,3,0,0,0,0,0,0,6038,607.059997558594,538,15,50,93,55,45,0,0,13
14552,2910,Relickeeper,4,15,0,4,2,3,0,0,0,0,0,0,6712,614.160034179688,487,15,50,90,55,45,0,0,8
15577,2140,Canoness,4,15,0,4,1,3,0,0,0,0,0,0,8137,385.760009765625,616,15,50,98,95,45,0,0,12
15737,2140,Canoness,4,15,0,4,1,3,0,0,0,0,0,0,8137,385.760009765625,616,15,50,98,95,45,0,0,12
12436,5600,Uugo,4,15,0,4,1,5,0,0,0,0,0,0,8969,315.079986572266,559,15,50,102,80,30,0,0,16
15753,1310,Terrorbeast,4,15,0,4,3,8,0,0,0,0,0,0,8766,467.540008544922,377,15,50,93,50,30,0,0,13
15575,5540,Achak the Wendarin,4,15,0,4,2,9,0,0,0,0,0,0,7979,448.700012207031,522,15,50,94,40,30,0,0,15
15745,610,Zelotah,4,15,0,4,3,10,0,0,0,0,0,0,9563,397.940002441406,471,15,50,95,50,30,0,0,14
8802,6930,Theresc,4,15,0,4,2,11,0,0,0,0,0,0,7722,593.579956054687,362,15,50,97,40,30,0,0,15
14612,3280,Golden Reaper,4,15,0,4,4,12,0,0,0,0,0,0,8633,492,398,15,50,104,0,30,0,0,12
15726,6490,Thylessia,4,15,0,4,2,12,0,0,0,0,0,0,5880,620,450,15,50,97,40,30,0,0,13
13558,7320,Suiren,4,15,0,4,2,15,0,0,0,0,0,0,6791,546.820007324219,465,15,50,99,40,30,0,0,10
15752,6850,Kunoichi,4,15,0,4,2,15,0,0,0,0,0,0,8296,347.600006103516,569,15,50,99,40,30,0,0,12
3933,2816,Bellower,6,60,0,3,4,5,0,100,0,600,0,950,27959,2711.4599609375,1687.81994628906,80,93,123.38500213623,75,66,1301,3,0
5,1106,Gnarlhorn,6,60,0,3,3,7,0,100,0,600,0,950,43548.80078125,1831.9599609375,1437.07995605469,41,98,142.600006103516,105,86,1301,1,0
127,1485,Galek,5,50,0,3,1,8,0,0,0,0,0,0,20501,2036,1568.9599609375,67,89,181.300003051758,107,56,1301,3,0
130,3625,Reliquary Tender,5,50,0,3,4,2,0,0,0,0,0,0,31082.19921875,1838.94995117187,2030.15991210938,63,83,210.899993896484,142,71,4301,2,0
4552,4505,Frozen Banshee,5,50,0,3,1,10,0,0,0,0,0,0,16031,1560.7099609375,1024.09997558594,15,50,102,87,37,1301,2,13
1,1515,Kael,5,50,0,3,1,11,0,0,0,0,0,0,21152,2221,1276.56005859375,47,63,162,119,47,1301,2,0
4040,1495,Elhain,5,50,0,3,1,2,0,0,0,0,0,0,17153,1254.65991210938,802,15,56,110,87,46,1301,1,3
103,5405,Geargrinder,5,50,0,3,4,5,0,0,0,0,0,0,26335.25,871.549987792969,898,15,67,98,7,37,4301,1,0
15,1895,Paragon,5,50,0,3,4,11,0,0,0,0,0,0,23437,953.799987792969,1861.59008789062,36,151,134.800003051758,47,65,1301,1,0
124,5895,Lifetaker,5,50,0,3,1,15,0,0,0,0,0,0,18763,1085.19995117188,695,15,50,102,87,37,1301,1,0
933,35,Apothecary,5,50,0,3,1,2,0,0,0,0,0,0,17846.900390625,846.640014648438,1407.11999511719,15,50,114.099998474121,107,66,0,0,0
205,8315,Meatcarver Tolog,5,50,0,3,2,7,0,0,0,0,0,0,21633,640.559997558594,976,15,50,98,47,56,0,0,5
4551,2435,Totem,5,50,0,3,3,8,0,0,0,0,0,0,14664.400390625,1011.58001708984,1027.69995117188,15,50,97,77,37,0,0,11
6850,425,Renegade,5,50,0,3,4,12,0,100,0,600,188,200,18939.94921875,1126,790,20,60,115,15,37,0,0,9
86,5875,Fanatic,5,50,0,3,4,15,0,0,0,0,0,0,27938.80078125,1175.73999023438,1620.77001953125,32,60,147,112,113,0,0,8
6,6075,Vagabond,5,50,0,3,3,15,0,0,0,0,0,0,12661,1150.15991210938,1021,15,50,97,88,37,0,0,12
15129,1460,Hound Spawn,5,17,0,3,2,9,0,0,0,0,0,0,8078,842.580017089844,500,15,50,96,47,37,0,0,15
187,6164,Mycolus,4,40,0,3,4,5,0,0,0,0,0,0,13982,1062,1048,15,73,96,7,37,4302,4,9
4042,454,Valerie,4,40,0,3,1,1,0,0,0,0,0,0,12982,1120,700,15,50,96,87,37,4302,2,7
6861,8834,Teryx the Restless,4,40,0,3,4,6,0,0,0,0,0,0,18283,834.950012207031,1769.56005859375,51,88,143.949996948242,139,46,1301,1,8
3931,2774,Fellhound,4,40,0,3,4,9,0,0,0,0,0,0,12269,668,731,15,50,95,7,37,1301,1,5
38,4244,Painsmith,4,40,0,3,4,16,0,0,0,0,0,0,12475.599609375,920.590026855469,601.380004882813,15,50,103,27,52,1301,1,14
4044,10173,Acolyte of the Slither,4,40,0,3,3,17,0,0,0,0,0,0,13358,539.700012207031,617,15,50,102,50,30,1301,1,10
26,3164,Vanguard,4,40,0,3,4,1,0,0,0,0,0,0,10138,668,715,15,50,99,7,37,0,0,9
24,4053,Ogryn Jailer,4,40,0,3,2,5,0,0,0,0,0,0,7543,869.97998046875,676,15,50,102,47,37,0,0,14
10449,2300,Metalshaper,4,40,0,3,3,6,0,0,0,0,0,0,10613,566.4599609375,700,15,50,93,57,37,0,0,12
249,873,Bogwalker,4,40,0,3,2,6,0,0,0,0,0,0,16635.400390625,822.559997558594,1391.19995117188,44,75,167,128,37,0,0,13
138,2733,Skink,4,40,0,3,1,6,0,0,0,0,0,0,9068,869.97998046875,566,15,50,96,87,37,0,0,13
4563,1103,Gnarlhorn,4,40,0,3,3,7,0,0,0,0,0,0,10850,670,652,15,50,99,57,37,0,0,7
25,783,Graybeard,4,40,0,3,1,7,0,0,0,0,0,0,9781,653.760009765625,724,15,50,95,87,37,0,0,15
17,693,Ironclad,4,40,0,3,2,8,0,0,0,0,0,0,12137,661.880004882813,566,15,50,107,47,37,0,0,5
227,3093,Treefeller,4,40,0,3,2,8,0,0,0,0,0,0,8950,853.739990234375,596,15,50,98,47,37,0,0,14
171,2943,Marquess,4,40,0,3,3,9,0,0,0,0,0,0,11662,605.0400390625,660,15,50,92,57,37,0,0,15
215,5743,Abyssal,4,40,0,3,3,9,0,0,0,0,0,0,12256,559.339965820313,660,15,50,93,57,37,0,0,9
